Date,Tweet_ID,Username,Raw Text,Likes,Retweets,is_fire,is_forest,is_urban,Light Cleaned Text,Advanced Cleaned Text,Hard Cleaned Text,Fire Probability,Predicted Label,is_wildland_pred,is_urban_pred
Mon Aug 12 23:58:43 +0000 2024,1823147133127528884,𝑪𝒐𝒎𝒃𝒊𝒏𝒆 𝑨𝒅𝒗𝒊𝒔𝒐𝒓 (41% v/v),"αντιμετώπισή της, η #φωτιά ξεπέρασε την κορυφογραμμή και έφτασε στα #Βριλήσσια. Σχετικά με τις καμένες περιουσίες δεν υπάρχει κανένας λόγος ανησυχίας: όσοι είχαν κάνει ιδιωτική ασφάλιση (με έκπτωση στον ΕΝΦΙΑ) θα πιέσουμε ώστε να αποζημιωθούν. Προέχει πάντα η ανθρώπινη ζωή! (2/2)",1,0,,,,"αντιμετώπισή της, η #φωτιά ξεπέρασε την κορυφογραμμή και έφτασε στα #Βριλήσσια. Σχετικά με τις καμένες περιουσίες δεν υπάρχει κανένας λόγος ανησυχίας: όσοι είχαν κάνει ιδιωτική ασφάλιση (με έκπτωση στον ΕΝΦΙΑ) θα πιέσουμε ώστε να αποζημιωθούν. Προέχει πάντα η ανθρώπινη ζωή! (2/2)","αντιμετωπιση της, η #φωτια ξεπερασε την κορυφογραμμη και εφτασε στα #βριλησσια. σχετικα με τις καμενες περιουσιες δεν υπαρχει κανενας λογος ανησυχιας: οσοι ειχαν κανει ιδιωτικη ασφαλιση (με εκπτωση στον ενφια) θα πιεσουμε ωστε να αποζημιωθουν. προεχει παντα η ανθρωπινη ζωη! (2/2)",αντιμετωπιση φωτια ξεπερασε κορυφογραμμη φτανω βριλησσιο σχετικα καμενος περιουσια υπαρχω λογος ανησυχια κανω ιδιωτικος ασφαλιση εκπτωση ενφια πιεσουμε αποζημιωθουν προεχει ανθρωπινη ζωη,0.913,1,0,1
Mon Aug 12 23:58:43 +0000 2024,1823147131009450231,𝑪𝒐𝒎𝒃𝒊𝒏𝒆 𝑨𝒅𝒗𝒊𝒔𝒐𝒓 (41% v/v),"Η #πυρκαγιά στην #Πεντέλη είναι μια ""megafire"" με ""χαοτικές κηλιδώσεις"" μέσα στα ακαθάριστα οικόπεδα. Ο κρατικός μηχανισμός λειτούργησε άψογα, επιχείρησαν έως 30 εναέρια πυροσβεστικά μέσα, αλλά λόγω των ευθυνών όσων δεν καθάρισαν το οικόπεδό τους δεν κατέστη δυνατή η άμεση (1/1)",0,0,,,,"Η #πυρκαγιά στην #Πεντέλη είναι μια ""megafire"" με ""χαοτικές κηλιδώσεις"" μέσα στα ακαθάριστα οικόπεδα. Ο κρατικός μηχανισμός λειτούργησε άψογα, επιχείρησαν έως 30 εναέρια πυροσβεστικά μέσα, αλλά λόγω των ευθυνών όσων δεν καθάρισαν το οικόπεδό τους δεν κατέστη δυνατή η άμεση (1/1)","η #πυρκαγια στην #πεντελη ειναι μια ""megafire"" με ""χαοτικες κηλιδωσεις"" μεσα στα ακαθαριστα οικοπεδα. ο κρατικος μηχανισμος λειτουργησε αψογα, επιχειρησαν εως 30 εναερια πυροσβεστικα μεσα, αλλα λογω των ευθυνων οσων δεν καθαρισαν το οικοπεδο τους δεν κατεστη δυνατη η αμεση (1/1)",πυρκαγια πεντελη megafire χαοτικος κηλιδωσεις ακαθαριστος οικοπεδο κρατικος μηχανισμος λειτουργω αψογα επιχειρω εναεριο πυροσβεστικος ευθυνων καθαρισαν οικοπεδο καθισταμαι δυνατος αμεσος,0.491,1,1,0
Mon Aug 12 23:57:12 +0000 2024,1823146751789871408,Bizznews.gr,Φωτιά στην Αττική: Αναζωπύρωση μετά τα μεσάνυχτα στο Αστεροσκοπείο -  https://t.co/HwZov1CiXA,0,0,,,,Φωτιά στην Αττική: Αναζωπύρωση μετά τα μεσάνυχτα στο Αστεροσκοπείο -,φωτια στην αττικη: αναζωπυρωση μετα τα μεσανυχτα στο αστεροσκοπειο -,φωτια αττικος αναζωπυρωση μεσανυχτα αστεροσκοπειο,0.99,1,0,0
Mon Aug 12 23:55:55 +0000 2024,1823146428987756870,𝙰 𝙳𝚛𝚎𝚊𝚖𝚎𝚛 ✨💫,@Kwloskability @lovevoulis @TsgTeri Εδώ δε γνωρίζει η αριστερά τους τι ποιεί η δεξιά τους. Ο δήμαρχος ήξερε ότι υπήρχε αγνοούμενη κ δεν το ήξερε η πυροσβεστική...,1,0,,,,Εδώ δε γνωρίζει η αριστερά τους τι ποιεί η δεξιά τους. Ο δήμαρχος ήξερε ότι υπήρχε αγνοούμενη κ δεν το ήξερε η πυροσβεστική...,εδω δε γνωριζει η αριστερα τους τι ποιει η δεξια τους. ο δημαρχος ηξερε οτι υπηρχε αγνοουμενη κ δεν το ηξερε η πυροσβεστικη...,γνωριζω αριστερα ποιει δημαρχος ηξερε υπαρχω αγνοουμενος κ ηξερε πυροσβεστικος,0.004,0,0,0
Mon Aug 12 23:53:12 +0000 2024,1823145743470723364,Giorgis,"@KostasVaxevanis @Ingenierosmar Κώστα, ο Λιγναδης τον τροχαγε και γούσταρε, η φωτιά μυρίζει χειρότερα από το σώβρακο",0,0,,,,"Κώστα, ο Λιγναδης τον τροχαγε και γούσταρε, η φωτιά μυρίζει χειρότερα από το σώβρακο","κωστα, ο λιγναδης τον τροχαγε και γουσταρε, η φωτια μυριζει χειροτερα απο το σωβρακο",κωστας λιγναδης τροχαγες γουσταρε φωτια μυριζω χειροτερα σωβρακο,0.01,0,0,0
Mon Aug 12 23:52:09 +0000 2024,1823145480534061159,Autou tou idiou | | ETHGas ⛽$XAGE,@nick0lasgamer @joelgr22 Συγνώμη αλλά δε νομίζετε οτι είναι είδηση οτι αυτή η ΝΔ έχει αφήσει να καούν πολλαπλάσια στρέμματα απο οποιαδήποτε άλλη κυβέρνηση στην Ελλάδα; Η διαφορά είναι τεράστια για να μην αναφερόμαστε σε αυτή. Εχεις ξανακούσει εσυ φωτιά στην Ελλάδα να καίει 25 μέρες;,2,0,,,,Συγνώμη αλλά δε νομίζετε οτι είναι είδηση οτι αυτή η ΝΔ έχει αφήσει να καούν πολλαπλάσια στρέμματα απο οποιαδήποτε άλλη κυβέρνηση στην Ελλάδα; Η διαφορά είναι τεράστια για να μην αναφερόμαστε σε αυτή. Εχεις ξανακούσει εσυ φωτιά στην Ελλάδα να καίει 25 μέρες;,συγνωμη αλλα δε νομιζετε οτι ειναι ειδηση οτι αυτη η νδ εχει αφησει να καουν πολλαπλασια στρεμματα απο οποιαδηποτε αλλη κυβερνηση στην ελλαδα; η διαφορα ειναι τεραστια για να μην αναφερομαστε σε αυτη. εχεις ξανακουσει εσυ φωτια στην ελλαδα να καιει 25 μερες;,συγνωμη νομιζετε οτι ειδηση οτι νδ αφηνω καουν πολλαπλασιος στρεμματα απο κυβερνηση ελλαδα διαφορα τεραστιος αναφερομαστε εχεις ξανακουζω εσυ φωτια ελλαδα καιω μερα,0.005,0,0,0
Mon Aug 12 23:51:56 +0000 2024,1823145424057987436,Katerina Moschoula,"@Cyberela Ρε, δεν απορροφούν τους ευρωπαϊκούς πόρους για την πυροσβεστική. Τι να κρατήσουν λεφτά;  Έπειτα πώς θα ιδιωτικοποιησουν και αυτήν, αν δε τη βγάλουν άχρηστη και εξαθλιωμενη;",2,0,,,,"Ρε, δεν απορροφούν τους ευρωπαϊκούς πόρους για την πυροσβεστική. Τι να κρατήσουν λεφτά; Έπειτα πώς θα ιδιωτικοποιησουν και αυτήν, αν δε τη βγάλουν άχρηστη και εξαθλιωμενη;","ρε, δεν απορροφουν τους ευρωπαικους πορους για την πυροσβεστικη. τι να κρατησουν λεφτα; επειτα πως θα ιδιωτικοποιησουν και αυτην, αν δε τη βγαλουν αχρηστη και εξαθλιωμενη;",ρε απορροφω ευρωπαικος πορος πυροσβεστικος κρατηνω λεφτο ιδιωτικοποιησω βγαλουν αχρηστος εξαθλιωμενος,0.005,0,0,0
Mon Aug 12 23:51:46 +0000 2024,1823145382445994352,Christos Tsakos,"@RulesArk Είναι πρώτη φορά που φωτιά μπαίνει τόσο βαθιά σε αστικο ιστό, για αυτό το λέω.",1,0,,,,"Είναι πρώτη φορά που φωτιά μπαίνει τόσο βαθιά σε αστικο ιστό, για αυτό το λέω.","ειναι πρωτη φορα που φωτια μπαινει τοσο βαθια σε αστικο ιστο, για αυτο το λεω.",φορα φωτια μπαινω βαθια αστικος ιστος λεω,0.011,0,0,0
Mon Aug 12 23:51:35 +0000 2024,1823145336312901636,Forecast Weather Greece,🔥❗️Εκτός ελέγχου  η πυρκαγιά στη νέα Μάκρη λίγο πριν από το κέντρο  Φώτο : Dimitris Zaharis https://t.co/Cco2oaPppX,28,22,,,,Εκτός ελέγχου η πυρκαγιά στη νέα Μάκρη λίγο πριν από το κέντρο Φώτο : Dimitris Zaharis,εκτος ελεγχου η πυρκαγια στη νεα μακρη λιγο πριν απο το κεντρο φωτο : dimitris zaharis,ελεγχου πυρκαγια νεος μακρη κεντρο φωτο dimitris zaharis,0.984,1,0,0
Mon Aug 12 23:51:19 +0000 2024,1823145272093929605,Η όρεξη του eater,"@EllNikos Γιατί οι 47.946 μπάτσοι που έστειλε το καθεστώς αντί για πυροσβέστες, δεν εκτοπίζουν και δημοσιογράφους; Τους αφήνουν να πλησιάζουν εθελοντές μπροστά στη φωτιά, μετά να τρώνε πρόγκα και τελικά το κοντρόλ να αλλάζει εικόνα στο στούντιο. Θα βρούμε κανέναν νεκρό από χτύπημα.",1,0,,,,"Γιατί οι 47.946 μπάτσοι που έστειλε το καθεστώς αντί για πυροσβέστες, δεν εκτοπίζουν και δημοσιογράφους; Τους αφήνουν να πλησιάζουν εθελοντές μπροστά στη φωτιά, μετά να τρώνε πρόγκα και τελικά το κοντρόλ να αλλάζει εικόνα στο στούντιο. Θα βρούμε κανέναν νεκρό από χτύπημα.","γιατι οι 47.946 μπατσοι που εστειλε το καθεστως αντι για πυροσβεστες, δεν εκτοπιζουν και δημοσιογραφους; τους αφηνουν να πλησιαζουν εθελοντες μπροστα στη φωτια, μετα να τρωνε προγκα και τελικα το κοντρολ να αλλαζει εικονα στο στουντιο. θα βρουμε κανεναν νεκρο απο χτυπημα.",μπατσοι εστειλε καθεστως πυροσβεστης εκτοπιζω δημοσιογραφος αφηνω πλησιαζω εθελοντης μπροστα φωτια τρωνε προγκα κοντρολ αλλαζω εικονα στουντιο βρουμε νεκρος χτυπημα,0.005,0,0,0
